,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
292,The,4.1,Private,93,1600,5700,55,6
293,Voltas,4.0,Public,69,1600,8200,61,1
294,Extramarks,3.6,Private,16,1600,7100,124,103
295,HDFC,4.0,Private,19,1600,7300,97,12
296,G,4.0,Private,27,1600,4500,43,2
297,Societe,3.8,Private,23,1600,13000,115,13
298,Micro,3.7,Private,50,1600,7200,58,5
299,BlackBuck,3.9,Private,8,1600,6800,114,48
300,IGT,3.5,Private,25,1600,8100,103,108
301,Aditya,4.2,Private,166,1600,11100,102,3
302,UNO,4.0,Private,65,1600,7300,82,13
303,Exide,3.6,Public,76,1600,7100,87,30
304,State,3.8,Private,231,1600,10700,94,29
305,Life,4.3,Private,67,1600,5100,49,4
306,Britannia,4.1,Public,131,1600,7000,83,10
307,ACT,4.1,Private,23,1600,5700,62,41
308,TVS,4.0,Private,127,1600,7700,69,16
309,Pfizer,4.1,Public,19,1500,6400,36,47
310,Bajaj,4.1,Private,23,1500,7400,35,5
311,Ajanta,4.0,Public,50,1500,6800,67,5
312,Delhi,3.9,Public,25,1500,6600,58,82
313,Coforge,3.7,Public,19,1500,15100,174,136
314,PepsiCo,4.1,Private,34,1500,7500,83,11
315,R,4.1,Private,159,1500,8100,59,21
316,Mahindra,4.2,Public,16,1500,5000,47,24
317,ElasticRun,3.5,Private,7,1500,6100,166,30
318,Cholamandalam,3.9,Private,22,1500,6000,46,2
319,Kalyan,4.8,Private,30,1500,1400,31,2
320,Samsung,4.1,Private,23,1500,9500,31,10
321,Blue,4.1,Public,80,1500,8400,68,25
322,Renault,4.1,Private,16,1500,7000,45,1
323,HCL,4.0,Public,47,1500,10400,115,4
324,Grasim,4.1,Public,76,1500,7200,84,11
325,Dalmia,4.1,Public,88,1500,7700,72,68
326,Shree,4.1,Public,44,1500,7800,80,2
327,Sterlite,3.9,Public,35,1500,8900,97,6
328,Emcure,3.9,Private,42,1500,7200,65,29
329,TVS,4.3,Public,15,1500,5400,50,28
330,PVR,4.2,Public,26,1500,5500,44,23
331,Yazaki,3.8,Private,82,1500,6500,70,2
332,CG,3.8,Public,86,1500,8000,47,21
333,Sonalika,3.8,Private,54,1500,7000,73,1
334,BHEL,4.3,Private,59,1500,5800,68,2
335,Johnson,3.5,Public,28,1400,11500,128,17
336,Raymond,4.1,Public,98,1400,7600,52,4
337,Square,3.4,Private,10,1400,6100,122,591
338,Mahindra,4.1,Public,23,1400,6700,77,7
